STATE,AVG_SCORE,AVG_TOT_EXP,ST_RATIO
ALABAMA,245.9004648,10.20689031,16.33
ALASKA,247.0920587,22.7015487,17.43
ARIZONA,249.0399,8.362734371,15.32
ARKANSAS,247.7817785,11.15435434,12.72
CALIFORNIA,244.5800336,12.58582968,21.81
COLORADO,252.528208,10.95662372,15.61
CONNECTICUT,255.2842287,20.86144893,11.26
DELAWARE,253.8087475,16.20988141,13.1
FLORIDA,248.2076382,9.941916235,18.54
GEORGIA,253.5922942,10.77019976,13.93
HAWAII,248.9358166,13.82250636,10.92
IDAHO,251.6251554,7.403467685,16.82
ILLINOIS,249.6622721,15.83199104,14.53
INDIANA,257.6649389,11.33080466,15.69
IOWA,255.0480648,13.40294195,14
KANSAS,253.5704132,12.42800451,13.61
KENTUCKY,253.9826967,10.97336432,14.71
LOUISIANA,246.4197812,12.76410218,14.85
MAINE,254.6554098,14.73628644,9.57
MARYLAND,250.2655981,15.88227427,13.41
MASSACHUSETTS,262.7852522,18.52610328,11.57
MICHIGAN,249.5274264,13.19166117,13.91
MINNESOTA,260.3935283,14.83174647,12.95
MISSISSIPPI,245.8577436,9.43419579,13.04
MISSOURI,253.1871707,11.80622864,13
MONTANA,251.3711531,12.49483201,11.65
NEBRASKA,255.9682983,13.71792072,13.07
NEVADA,248.3453118,9.52979624,17.42
NEW HAMPSHIRE,261.2349246,16.6342692,11.66
NEW JERSEY,256.9135523,21.51215624,10.7
NEW MEXICO,246.0279908,11.78877219,15.04
NEW YORK,252.5965405,24.73638588,10.9
NORTH CAROLINA,251.0279291,9.59754367,14.05
NORTH DAKOTA,255.2244052,17.01626423,10.3
OHIO,253.5463806,14.09912375,13.11
OKLAHOMA,250.7830742,9.207504671,14.54
OREGON,251.6658871,12.29295938,17.94
PENNSYLVANIA,254.0811438,18.68007001,10.68
RHODE ISLAND,253.1507514,17.28768559,8.46
SOUTH CAROLINA,249.9083087,11.91124232,14.24
SOUTH DAKOTA,252.4712208,11.02698817,12.3
TENNESSEE,249.4538659,9.615121716,13
TEXAS,253.2046976,11.24021922,14.27
UTAH,254.8985005,7.907055599,20.57
VERMONT,256.0898357,23.11954123,9.06
VIRGINIA,258.18096,12.58975503,14.46
WASHINGTON,257.8373126,12.7104244,19.32
WEST VIRGINIA,247.4361779,12.40134137,11.55
WISCONSIN,255.7487992,13.4062459,12.9
WYOMING,255.4430967,20.69317225,11.04
