REGION,COUNCIL,WARD,SCHOOL NAME,ENROLMENT,TEACHERS,QPTR
ARUSHA,Arusha CC,Kimandolu,KIMASEKI,1205,52,23
ARUSHA,Arusha CC,Kimandolu,SUYE,918,39,24
ARUSHA,Arusha CC,Baraa,BARAA,838,40,21
ARUSHA,Arusha CC,Baraa,SORENYI,680,29,23
ARUSHA,Arusha CC,Oloirien,OLOIRIEN,1047,41,26
ARUSHA,Arusha CC,Moshono,LOSIRWAY,427,21,20
ARUSHA,Arusha CC,Moshono,MOSHONO,622,42,15
ARUSHA,Arusha CC,Lemara,LEMARA,1158,43,27
ARUSHA,Arusha CC,Lemara,NAURA,453,36,13
ARUSHA,Arusha CC,Engutoto,KORONA,93,15,6
ARUSHA,Arusha CC,Engutoto,NJIRO,426,31,14
ARUSHA,Arusha CC,Sokon I,MURIET,1104,41,27
ARUSHA,Arusha CC,Sinoni,SINON,1704,47,36
ARUSHA,Arusha CC,Terrat,MKONOO,242,12,20
ARUSHA,Arusha CC,Muriet,KINANA,629,24,26
ARUSHA,Arusha CC,Osunyai Jr,SOMBETINI,1257,45,28
ARUSHA,Arusha CC,Elerai,ELERAI,1421,58,25
ARUSHA,Arusha CC,Olasiti,ARUSHA GIRLS,150,10,15
ARUSHA,Arusha CC,Olasiti,OLASITI,1071,35,31
ARUSHA,Arusha CC,Olmoti,OLMOTI,80,8,10
ARUSHA,Arusha CC,Kati,ARUSHA SEC,1635,83,20
ARUSHA,Arusha CC,Daraja Ii,FELIX MREMA,1363,47,29
ARUSHA,Arusha CC,Themi,ARUSHA DAY,949,39,24
ARUSHA,Arusha CC,Themi,THEMI,1029,35,29
ARUSHA,Arusha CC,Ngarenaro,NGARENARO,1509,42,36
ARUSHA,Arusha CC,Kaloleni,KALOLENI,1096,42,26
ARUSHA,Arusha,Mwandet,MWANDET,1059,35,30
ARUSHA,Arusha,Olkokola,LENGIJAVE,333,27,12
ARUSHA,Arusha,Olkokola,MUKULAT,834,34,25
ARUSHA,Arusha,Oldonyosambu,OLDONYOSAMBU,857,25,34
ARUSHA,Arusha,Kisongo,EINOTI,705,50,14
ARUSHA,Arusha,Mateves,MATEVES,492,82,6
ARUSHA,Arusha,Mateves,OLJORO,213,28,8
ARUSHA,Arusha,Musa,MUSA,393,19,21
ARUSHA,Arusha,Oljoro,ENDEVES,258,25,10
ARUSHA,Arusha,Kimnyaki,KIMNYAKI,700,43,16
ARUSHA,Arusha,Sambasha,SAMBASHA,211,11,19
ARUSHA,Arusha,Ilkiding'a,ILKIDING'A,1006,21,48
ARUSHA,Arusha,Olturoto,ENYOITO,1374,80,17
ARUSHA,Arusha,Bangata,BANG'ATA,405,28,14
ARUSHA,Arusha,Sokon II,NG'IRESI,474,29,16
ARUSHA,Arusha,Sokon II,OLDADAI,1065,83,13
ARUSHA,Arusha,Sokon II,SOKONI II,231,35,7
ARUSHA,Arusha,Mlangarini,MLANGARINI,1158,45,26
ARUSHA,Arusha,Nduruma,NDURUMA,356,32,11
ARUSHA,Arusha,Nduruma,OLEMEDEYE,355,16,22
ARUSHA,Arusha,Bwawani,OLOKII,578,20,29
ARUSHA,Arusha,Olorien,MRINGA,1411,97,15
ARUSHA,Arusha,Kiranyi,KIRANYI,1344,90,15
ARUSHA,Arusha,Olturumet,OLTRUMET,231,21,11
ARUSHA,Arusha,Olturumet,OSILIGI,262,32,8
